目标类别编号,目标类别名称,目标类别英文名称,目标父类编号,目标父类名称,目标父类英文名称,表名,neo4j编号
38b879ef,地下目标,Underground target,,位置分类目标,,,
321964fe,地面目标,Ground target,,位置分类目标,,,
98586e6f,水下目标,Underwater target,,位置分类目标,,,
a6f84dbd,水面目标,Surface target,,位置分类目标,,,
f9e917dd,空中目标,air target,,位置分类目标,,,
ae2433fc,半地下目标,Semi underground target,,位置分类目标,,,
a5d171fe,地下人防工程,Underground civil air defense works,38b879ef,地下目标,Underground target,,
1cba229c,地下发射井,Underground silo,38b879ef,地下目标,Underground target,,
e85ea004,地下工厂,Underground factory,38b879ef,地下目标,Underground target,,
40154c78,地下指挥所,Underground command post,38b879ef,地下目标,Underground target,,
d227b8a9,地下掩体,Underground bunker,38b879ef,地下目标,Underground target,,
9b94f230,洞库,Cavern,38b879ef,地下目标,Underground target,,
687d56b9,隧道,Tunnel,38b879ef,地下目标,Underground target,,
4fd4aa57,人员掩蔽工程,personnel shelter ,a5d171fe,地下人防工程,Underground civil air defense works,,
b0480a54,其他配套工程,Other supporting engineering,a5d171fe,地下人防工程,Underground civil air defense works,,
b3a12e0a,医疗救护工程,Medical rescue Engineering,a5d171fe,地下人防工程,Underground civil air defense works,,
76dbcba3,指挥通信工程,Command and Communication Engineering,a5d171fe,地下人防工程,Underground civil air defense works,,
d5283d04,防空专业队工程,Air defense professional team project,a5d171fe,地下人防工程,Underground civil air defense works,,
5d3d3653,军事设施,military installation,321964fe,地面目标,Ground target,,
aec89fea,军用车辆,Military vehicles,321964fe,地面目标,Ground target,target_parameter_table_05panzer,
c6696ccb,地面设备,Ground equipment,321964fe,地面目标,Ground target,,
4e6544aa,坦克,Tank,321964fe,地面目标,Ground target,target_parameter_table_04tank,
fb97e56d,工事,fortifications,321964fe,地面目标,Ground target,,
cf3eb85c,交通运输,Transportation,5d3d3653,军事设施,military installation,,
34f86950,供应站,supply centre,5d3d3653,军事设施,military installation,,
2000cbe5,军事仓库,Military warehouse,5d3d3653,军事设施,military installation,,
2b7e86a3,军用输水管道,Military water pipeline,5d3d3653,军事设施,military installation,,
082f4801,军用输油管道,Military oil pipeline,5d3d3653,军事设施,military installation,,
431627bb,军用输电线路,Military transmission line,5d3d3653,军事设施,military installation,,
95b9c751,军用通信线路,Military communication line,5d3d3653,军事设施,military installation,,
0505ec19,军需库,equipment store,5d3d3653,军事设施,military installation,,
799511ba,前沿指挥所,Forward command post,5d3d3653,军事设施,military installation,,
1d67e58f,场地,field,5d3d3653,军事设施,military installation,,
91d2ef62,弹药库,Ammunition depot,5d3d3653,军事设施,military installation,,
c8f0f537,炼油厂,Oil Refinery,5d3d3653,军事设施,military installation,,
b129b463,观测台,Observatory,5d3d3653,军事设施,military installation,,
eae03fb9,通信枢纽,communication center,5d3d3653,军事设施,military installation,,
a071468d,雷达站,Radar station,5d3d3653,军事设施,military installation,,
e088ee0a,军用公路,military road,cf3eb85c,交通运输,Transportation,,
975f168f,后勤补给线,Logistics supply line,cf3eb85c,交通运输,Transportation,,
8713fc4f,桥梁,bridge,cf3eb85c,交通运输,Transportation,,
c33ec3f9,要道,Main road,cf3eb85c,交通运输,Transportation,,
4e27e229,铁路专用线,Special railway line,cf3eb85c,交通运输,Transportation,,
97afc26a,隘口,Pass,cf3eb85c,交通运输,Transportation,,
d01292dd,布雷区,Minefield,1d67e58f,场地,field,,
ef4a534f,汽车场,Car yard,1d67e58f,场地,field,,
930a2bfa,港口,Port,1d67e58f,场地,field,,
0cbb2e76,火力点,Fire point,1d67e58f,场地,field,,
6d6399e7,火箭阵地,Rocket position,1d67e58f,场地,field,,
5190ef5e,炮兵阵地,Artillery position,1d67e58f,场地,field,,
952c581c,码头,wharf,1d67e58f,场地,field,,
55ff3f1c,营区,camp,1d67e58f,场地,field,,
762d8284,训练场,Training ground,1d67e58f,场地,field,,
e9539b41,试验场,Testing ground,1d67e58f,场地,field,,
a11d61a8,飞机场,airport,1d67e58f,场地,field,,
80e778d3,战斗车,The combat vehicle,aec89fea,军用车辆,Military vehicles,target_parameter_table_05panzer,
9ba0d4dd,牵引运载车,Towing vehicle,aec89fea,军用车辆,Military vehicles,target_parameter_table_05panzer,
9b4cb08d,特种车,Special vehicle,aec89fea,军用车辆,Military vehicles,target_parameter_table_05panzer,
9e620f23,前沿指挥车,Forward command vehicle,80e778d3,战斗车,The combat vehicle,target_parameter_table_05panzer,
43e488e4,前沿通信车,Frontier communication vehicle,80e778d3,战斗车,The combat vehicle,target_parameter_table_05panzer,
da25415d,反坦克导弹车,Anti tank missile vehicle,80e778d3,战斗车,The combat vehicle,target_parameter_table_05panzer,
407fc0c8,战术导弹车,Tactical missile vehicle,80e778d3,战斗车,The combat vehicle,target_parameter_table_05panzer,
0a24a9ce,装甲车,Armored car,80e778d3,战斗车,The combat vehicle,target_parameter_table_05panzer,
a2800e10,挖堑壕车,Trench digging vehicle,9b4cb08d,特种车,Special vehicle,target_parameter_table_05panzer,
ec17ca51,救护车,ambulance,9b4cb08d,特种车,Special vehicle,target_parameter_table_05panzer,
c1e6f24f,药剂洗消车,Reagent washing vehicle,9b4cb08d,特种车,Special vehicle,target_parameter_table_05panzer,
c1c79261,野战炊事车,Field cooking vehicle,9b4cb08d,特种车,Special vehicle,target_parameter_table_05panzer,
f3a93ce6,光电器材,Photoelectric equipment,c6696ccb,地面设备,Ground equipment,,
d8ed702f,技术设备,technical equipment,c6696ccb,地面设备,Ground equipment,,
84b28bef,激光设备,Laser equipment,c6696ccb,地面设备,Ground equipment,,
05cec6fe,电网,power grid,c6696ccb,地面设备,Ground equipment,,
cb653133,观察观测设备,Observation equipment,c6696ccb,地面设备,Ground equipment,,
e0857680,近红外设备,Near infrared equipment,c6696ccb,地面设备,Ground equipment,,
db2775ec,通信系统,communication system ,c6696ccb,地面设备,Ground equipment,,
1b8d8486,主战坦克,Main battle tank,4e6544aa,坦克,Tank,target_parameter_table_04tank,
66bfef03,特种坦克,Special tank,4e6544aa,坦克,Tank,target_parameter_table_04tank,
0txql0dm,土木工事,earth fortification,fb97e56d,工事,fortifications,,
lohp4poa,掩体工事,Bunker fortification,fb97e56d,工事,fortifications,,
64325pff,野战工事,Field fortification,fb97e56d,工事,fortifications,,
llrlmr3n,钢筋混凝土工事,Reinforced concrete fortification,fb97e56d,工事,fortifications,,
m0r9mdgb,障碍物,obstacle,fb97e56d,工事,fortifications,,
c243df06,水下导弹发射平台,Underwater missile launching platform,98586e6f,水下目标,Underwater target,,
