装备类别编号,装备类别名称,装备类别英文名称,装备父类编号,装备父类名称,装备父类英文名称,表名,neo4j编号
1af6243b,军用车辆,Military vehicles,,武器装备,,,
26f27b33,地效飞行器,Ground effect aircraft,,武器装备,,,
6fd28dd7,坦克,Tank,,武器装备,,,
b6f3e1f4,枪支,firearms,,武器装备,,,
f019f3f5,潜艇,submarine,,武器装备,,,
41456691,火器,firearm,,武器装备,,,
2e07ca44,火炮,artillery,,武器装备,,,
8fc9aa7e,翼地效应机,Wing ground effector,,武器装备,,,
4f476c6d,舰艇,naval vessels,,武器装备,,,
9e2612ab,雷达,radar,,武器装备,,,
917f32fc,飞机,aircraft,,武器装备,,,
ad237734,战斗车,The combat vehicle,,军用车辆,,,
68c353a4,牵引运载车,Towing vehicle,,军用车辆,,,
aab635dd,特种车,Special vehicle,,军用车辆,,,
c6fa2858,前沿指挥车,Forward command vehicle,,战斗车,,,
c527f3d6,前沿通信车,Frontier communication vehicle,,战斗车,,,
f935dffe,反坦克导弹车,Anti tank missile vehicle,,战斗车,,,
75aa6164,战术导弹车,Tactical missile vehicle,,战斗车,,,
8d670c0c,装甲车,Armored car,,战斗车,,,
5babfefc,挖堑壕车,Trench digging vehicle,,特种车,,,
577d7c0f,救护车,ambulance,,特种车,,,
48e149ef,药剂洗消车,Reagent washing vehicle,,特种车,,,
e54ca86e,野战炊事车,Field cooking vehicle,,特种车,,,
ae11f841,主战坦克,Main battle tank,,坦克,,,
6e11491a,特种坦克,Special tank,,坦克,,,
f91f137e,常规动力潜艇,Conventional powered submarine,,潜艇,,,
3a8ff038,无人潜艇,Unmanned submarine,,潜艇,,,
482c5589,核动力潜艇,Nuclear powered submarine,,潜艇,,,
b80b81ea,中型潜艇,Medium submarine,,常规动力潜艇,,,
9548781d,大型潜艇,Large submarine,,常规动力潜艇,,,
15116767,小型潜艇,small submarine,,常规动力潜艇,,,
1ae5231c,袖珍潜艇,midget submarine,,常规动力潜艇,,,
c8611a8d,半浮半沉型无人潜艇,Semi floating and semi sinking unmanned submarine,,无人潜艇,,,
3fcbe8bc,智能型无人潜艇,Intelligent unmanned submarine,,无人潜艇,,,
b3597b67,遥控潜水艇型无人潜艇,Remote control submarine unmanned submarine,,无人潜艇,,,
98e90b03,一壳半潜艇,A shell and a half submarine,,核动力潜艇,,,
93451c05,单壳潜艇,Single hull submarine,,核动力潜艇,,,
7c9ab961,双壳潜艇,Double hull submarine,,核动力潜艇,,,
2fa88855,保障辅助舰艇,Support auxiliary ship,,舰艇,,,
9638212a,勤务舰船,Service ship,,舰艇,,,
6edd7d47,战斗舰艇,Combat ship,,舰艇,,,
2b665481,供应舰船,Supply ship,,勤务舰船,,,
9ae1023c,侦察船,Reconnaissance ship,,勤务舰船,,,
711b9111,修理船,Repair ship,,勤务舰船,,,
bd916db7,军事运输船,Military transport ship,,勤务舰船,,,
a0723adc,基地勤务船,Base service ship,,勤务舰船,,,
b63c9b7c,工程船,Engineering ship,,勤务舰船,,,
c23ffc50,海洋调查船,Marine survey ship,,勤务舰船,,,
4c8a3d69,海道测量船,Hydrographic survey vessel,,勤务舰船,,,
d66b5c0f,消磁船,Degaussing ship,,勤务舰船,,,
1e190ea6,破冰船,Icebreaker,,勤务舰船,,,
ee004aac,航标船,Navigation mark ship,,勤务舰船,,,
38076d45,训练舰船,Training ship,,勤务舰船,,,
336ab587,试验船,Test vessel,,勤务舰船,,,
fc55e950,通信船,Communication ship,,勤务舰船,,,
8c0a7329,防险救生船,Rescue boat,,勤务舰船,,,
9bbebfb4,两栖作战舰艇,Amphibious warship,,战斗舰艇,,,
cfc726fc,反水雷舰艇,Anti mine ship,,战斗舰艇,,,
35a11cd1,导弹舰,Missile ship,,战斗舰艇,,,
