材料类别编号,材料类别名称,材料类别英文名称,材料父类编号,材料父类名称,材料父类英文名称,表名,neo4j编号
51f118f1,上定心部,Upper centering part,5ece3fea,定心部,Centering part,,
6fa6f871,下定心部,Lower centering part,5ece3fea,定心部,Centering part,,
62967aa0,中心管,Central tube,8c22efa5,特种弹药部件,Special Ammunition components,,
570bb4a8,传爆管,Booster tube,4c996efe,爆管,Tube burst,,
5f000c42,保险,Insurance,4550eb8b,弹药其它零部件,Ammunition and other parts,,
c1c5a180,保险杆,Bumper,da6f1189,雷体零部件,Lightning body parts,,
b467c45a,其它稳定装置,Other stabilizers,2246622e,稳定装置,Stabilizing device,,
b29485c2,出手保险,Hand insurance,5f000c42,保险,Insurance,,
bd4759ee,击发机构,Firing mechanism,da6f1189,雷体零部件,Lightning body parts,,
bd854ba8,分离装置,Separation device,4a81fc9f,常规部件,Conventional components,,
c9865940,分装式药筒,Split cartridge,75533eb4,药筒,Cartridge,,
f43966c7,切割网栅,Cutting grid,4550eb8b,弹药其它零部件,Ammunition and other parts,,
57dfcca4,前托,Anterior bracket,ee2b15a7,弹托,Sabot,,
68a0e509,前抛反装甲子母弹头螺,Front throw reverse mounted armour mother warhead screw,38778a8d,头螺,Head screw,,
957e753b,勤务保险,Service insurance,5f000c42,保险,Insurance,,
54ee1864,压电引信,Piezoelectric fuze,c5b9b5f6,引信,fuze,,
a81753cb,双碟形药型罩,Double disc shaped liner,55d6d028,药型罩,Liner,,
b04f38a2,发动机壳体,Engine housing,ad7e4044,火箭发动机,rocket engine,,
f09468cf,发烟剂,Smoke agent,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
9420aa23,可燃容器,Combustible container,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
d5da8ea2,吊伞,Hanging umbrella,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,8c22efa5,特种弹药部件,Special Ammunition components,,
b96f05ef,后托,Posterior bracket,ee2b15a7,弹托,Sabot,,
ed335478,喷管,nozzle,ad7e4044,火箭发动机,rocket engine,,
3e554523,圆柱部,Cylindrical part,f31660c0,弹体,Projectile body,,
288165fe,塑料弹带,Plastic elastic belt,b1b3d79c,弹带,Elastic belt,,
da4ac40c,壳体,housing,c21b60be,弹丸,projectile,,
09693b45,失手保险,Miss insurance,5f000c42,保险,Insurance,,
2068680a,子弹,bullet,ca6eeb5f,母弹零部件,Mother bullet parts,,
549562f1,子弹收集器,Bullet collector,df4db615,尾管,Tailpipe,,
96a5944a,安定器,Ballast,4a81fc9f,常规部件,Conventional components,,
dfb20075,定心块,Centering block,4a81fc9f,常规部件,Conventional components,,
5ece3fea,定心部,Centering part,3e554523,圆柱部,Cylindrical part,,
f546ac1c,定装式药筒,Fixed cartridge,75533eb4,药筒,Cartridge,,
4a081911,宣传品,Promotional materials,8c22efa5,特种弹药部件,Special Ammunition components,,
e53fc08b,宣传纸包皮,Propaganda paper wrapping,8c22efa5,特种弹药部件,Special Ammunition components,,
4b980795,密封盖,Sealing cover,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
46e0828d,导引部,Guiding part,5ece3fea,定心部,Centering part,,
0fc7887c,导爆管,Detonating tube,4c996efe,爆管,Tube burst,,
5fc32e66,尼龙弹带,Nylon elastic belt,b1b3d79c,弹带,Elastic belt,,
df4db615,尾管,Tailpipe,b467c45a,其它稳定装置,Other stabilizers,,
89b82554,尾翅,Tail wing,b467c45a,其它稳定装置,Other stabilizers,,
4327fbae,尾翼座,Tail seat,4814f4c1,尾翼稳定装置,Tail stabilizer,,
4814f4c1,尾翼稳定装置,Tail stabilizer,2246622e,稳定装置,Stabilizing device,,
4a81fc9f,常规部件,Conventional components,34f57b39,弹丸零部件,Projectile parts,,
2bb6f084,引燃剂,Igniter,8c22efa5,特种弹药部件,Special Ammunition components,,
34f57b39,弹丸零部件,Projectile parts,c21b60be,弹丸,projectile,,
66c52908,弹头壳,jacket,0f3fb988,弹头部,Warhead,,
860809a3,弹头帽,Warhead cap,0f3fb988,弹头部,Warhead,,
474f52f3,弹尾部,Bullet tail,f31660c0,弹体,Projectile body,,
b1b3d79c,弹带,Elastic belt,3e554523,圆柱部,Cylindrical part,,
b8eeebb6,弹杆,Spring rod,4a81fc9f,常规部件,Conventional components,,
2f8ebdfa,弹芯,Core,3e554523,圆柱部,Cylindrical part,,
4550eb8b,弹药其它零部件,Ammunition and other parts,,弹药结构,,,
46fb99b7,扩爆管,Expansion tube,4c996efe,爆管,Tube burst,,
5bbafea2,抛射系统,Ejection system,ca6eeb5f,母弹零部件,Mother bullet parts,,
e4d6a5e8,抛射药盒,Ejection Kit,4550eb8b,弹药其它零部件,Ammunition and other parts,,
6586d890,挡药板,Drug retaining plate,ad7e4044,火箭发动机,rocket engine,,
1522885f,推力板,Thrust plate,4550eb8b,弹药其它零部件,Ammunition and other parts,,
a8b503a6,推进剂,propellant,7804e183,炸药装药,Explosive charge,,
164f4b21,支承筒,Support cylinder,4550eb8b,弹药其它零部件,Ammunition and other parts,,
eb8839f0,支撑弹带,Support belt,b1b3d79c,弹带,Elastic belt,,
ad03486c,旋压药型罩,Spinning liner,55d6d028,药型罩,Liner,,
d0edfff4,旋转稳定装置,Rotary stabilizer,2246622e,稳定装置,Stabilizing device,,
993803c4,时间引信,Time fuse,ca6eeb5f,母弹零部件,Mother bullet parts,,
adfd7b84,曳光剂,Tracer,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
eebafc9a,曳光管,Tracer tube,474f52f3,弹尾部,Bullet tail,,
d0981be6,机械引信,Mechanical fuse,c5b9b5f6,引信,fuze,,
67b0433f,条带形药包,Strip shaped charge,a303ff4a,药包,Medicine bag,,
b2e42ab4,梯恩梯,TNT,7804e183,炸药装药,Explosive charge,,
7dd193c2,橡胶圈,Rubber ring,df4db615,尾管,Tailpipe,,
ca6eeb5f,母弹零部件,Mother bullet parts,34f57b39,弹丸零部件,Projectile parts,,
ad7e4044,火箭发动机,rocket engine,,弹药结构,,,
f8c62c44,火箭推进剂,Rocket propellant,ad7e4044,火箭发动机,rocket engine,,
332d4baa,点传火管,Ignition pipe,f3450e02,发射装药,Launching charge,,
af0bb48c,点火具,Igniter,4a81fc9f,常规部件,Conventional components,,
deb8ae85,点火装置,Ignition device,ad7e4044,火箭发动机,rocket engine,,
c7d3533f,烟幕剂,Smoke agent,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
ab8b17de,照明剂,Illuminating agent,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
a98221d4,照明炬,Bright torch,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
2ac038ba,燃料空气炸药,Fuel air explosive,7804e183,炸药装药,Explosive charge,,
041c63a0,燃烧剂,Combustion agent,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
079d5291,燃烧室,combustion chamber,ad7e4044,火箭发动机,rocket engine,,
74cc5c82,燃烧弹头螺,Combustion warhead screw,38778a8d,头螺,Head screw,,
f5f9ac60,燃烧炬,Burning torch,8c22efa5,特种弹药部件,Special Ammunition components,,
8c22efa5,特种弹药部件,Special Ammunition components,34f57b39,弹丸零部件,Projectile parts,,
30bcef9d,特种装填剂,Special filler,da6f1189,雷体零部件,Lightning body parts,,
f0474c79,猛炸药,Dynamite,7804e183,炸药装药,Explosive charge,,
5b73acd5,环带形药包,Ring shaped cartridge,a303ff4a,药包,Medicine bag,,
8fa9ff1d,环形药包,Annular charge,a303ff4a,药包,Medicine bag,,
3b2c5296,破甲弹头螺,Armour piercing warhead screw,38778a8d,头螺,Head screw,,
dbcabf0f,碳化钨弹芯,Tungsten carbide core,2f8ebdfa,弹芯,Core,,
2246622e,稳定装置,Stabilizing device,474f52f3,弹尾部,Bullet tail,,
a5d56d35,线性药型罩,Linear liner,55d6d028,药型罩,Liner,,
15168a78,缓冲器,Buffer,df4db615,尾管,Tailpipe,,
e99adb12,缓冲气囊,Cushion airbag,4550eb8b,弹药其它零部件,Ammunition and other parts,,
0cd46372,缓蚀剂,Corrosion inhibitor,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
a303ff4a,药包,Medicine bag,f3450e02,发射装药,Launching charge,,
55d6d028,药型罩,Liner,4550eb8b,弹药其它零部件,Ammunition and other parts,,
ae71e48a,药室,Medicine room,f3450e02,发射装药,Launching charge,,
27db75c0,薄壁弹体,Thin wall projectile,ca6eeb5f,母弹零部件,Mother bullet parts,,
5d382281,螺纹,thread,4550eb8b,弹药其它零部件,Ammunition and other parts,,
c557b2e8,衬筒,Liner,4550eb8b,弹药其它零部件,Ammunition and other parts,,
726fa90d,被帽,Quilt cap,4a81fc9f,常规部件,Conventional components,,
d6a88bf8,触发引信,Trigger fuse,c5b9b5f6,引信,fuze,,
ed2e899d,起爆管,Detonating tube,4c996efe,爆管,Tube burst,,
54d3ee5c,起爆药,Primary explosive,7804e183,炸药装药,Explosive charge,,
7367a0d4,起爆装置,Initiation device,4550eb8b,弹药其它零部件,Ammunition and other parts,,
f0dbe2fa,转动轴承,Rotating bearing,dcd28f97,吊伞照明炬系统,Umbrella lighting torch system,,
4e5aa2e8,过渡药,Transitional drug,8c22efa5,特种弹药部件,Special Ammunition components,,
3ec2d9d0,近炸引信,Proximity fuze,c5b9b5f6,引信,fuze,,
4ff4ec7f,金属药型罩,Metal liner,55d6d028,药型罩,Liner,,
4df964f0,钝黑铝炸药,Blunt black aluminum explosive,7804e183,炸药装药,Explosive charge,,
e1820418,钢芯,Steel core,0f3fb988,弹头部,Warhead,,
6fc2f328,钨合金弹芯,Tungsten alloy core,2f8ebdfa,弹芯,Core,,
12c24c2e,铅芯,Lead core,0f3fb988,弹头部,Warhead,,
b584ba74,销轴,pin shaft,4814f4c1,尾翼稳定装置,Tail stabilizer,,
ea53e4f2,错位式抗旋药型罩,Dislocation anti rotation medicine cover,55d6d028,药型罩,Liner,,
a9f84524,闭气环,Obturator ring,3e554523,圆柱部,Cylindrical part,,
ae7c101a,隔板,a partition,4550eb8b,弹药其它零部件,Ammunition and other parts,,
da6f1189,雷体零部件,Lightning body parts,34f57b39,弹丸零部件,Projectile parts,,
de84b46b,雷壳,Thunder shell,da6f1189,雷体零部件,Lightning body parts,,
4d450df6,雷翅,Thunder wing,da6f1189,雷体零部件,Lightning body parts,,
9db3169e,飞行保险,Flight insurance,5f000c42,保险,Insurance,,
9e1866dc,传火药,Gunpowder transmission,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
51508457,化学毒剂,chemical toxicants ,3efd8d84,装填物,Filler,,
e9b079db,压螺,Screw pressing,97e46a0b,底火,Primer,,
26bbd415,发射药,Propellant,f3450e02,发射装药,Launching charge,,
f3450e02,发射装药,Launching charge,,弹药结构,,,
7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,f3450e02,发射装药,Launching charge,,
2b16ffd2,发火砧,Firing anvil,97e46a0b,底火,Primer,,
38778a8d,头螺,Head screw,4a81fc9f,常规部件,Conventional components,,
cf636ca5,底凹,Concave bottom,4a81fc9f,常规部件,Conventional components,,
97e46a0b,底火,Primer,f3450e02,发射装药,Launching charge,,
bc912337,底火体,Primer,97e46a0b,底火,Primer,,
252f22b3,底螺,Bottom screw,4a81fc9f,常规部件,Conventional components,,
c5b9b5f6,引信,fuze,c21b60be,弹丸,projectile,,
c21b60be,弹丸,projectile,,弹药结构,,,
f31660c0,弹体,Projectile body,c21b60be,弹丸,projectile,,
